"OPEID","State_of_Legal_Residence","Primary_Program_Modality","Charge_Types"
"00262700","AL","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","AL","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","NE","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","NE","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","AK","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","AK","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","NV","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","NV","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","AB","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","AB","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","NB","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","NB","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","AS","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","AS","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","NH","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","NH","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","AZ","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","AZ","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","NJ","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","NJ","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","AR","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","AR","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","NM","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","NM","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","BC","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","BC","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","NY","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","NY","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","CA","GROUND","Tuition,STRF,Taxes,Misc,Resource"
"00262700","CA","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","NF","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","NF","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","CN","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","CN","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","NL","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","NL","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","CO","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","CO","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","NC","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","NC","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","CT","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","CT","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","ND","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","ND","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","DE","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","DE","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","MP","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","MP","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","DC","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","DC","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","NT","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","NT","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","FM","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","FM","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","NS","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","NS","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","FL","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","FL","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","NU","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","NU","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","FC","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","FC","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","OH","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","OH","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","GA","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","GA","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","OK","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","OK","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","GU","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","GU","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","ON","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","ON","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","HI","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","HI","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","OR","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","OR","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","ID","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","ID","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","PA","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","PA","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","IL","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","IL","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","PE","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","PE","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","IN","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","IN","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","PR","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","PR","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","IA","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","IA","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","PQ","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","PQ","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","KS","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","KS","ONLINE","Tuition,Taxes,Misc,Resource"
"00262700","QC","GROUND","Tuition,Taxes,Misc,Resource"
"00262700","QC","ONLINE","Tuition,Taxes,Misc,Resource"
